+0.01566211-0.00000000i, -0.00016701+0.00005184i, -0.00017687+0.00008635i, +0.00008504-0.00017534i, +0.00014078+0.00019776i, -0.00009362+0.00014836i, -0.00005422+0.00010321i, +0.00017911-0.00008031i, -0.00010297+0.00021571i, -0.00005072-0.00000547i, -0.00024011-0.00039685i, +0.00028814-0.00010880i, -0.00000233-0.00000218i, -0.00011433-0.00003282i, -0.00007344+0.00004480i, +0.00002322-0.00012493i, +0.00013828-0.00022634i, +0.00011049+0.00001155i, +0.00013229+0.00017003i, -0.00015210+0.00016457i, -0.00002731-0.00025847i, -0.00007520-0.00000012i, -0.00004431+0.00002481i, +0.00012599-0.00002767i, +0.00018140-0.00013626i, -0.00018234+0.00008112i, -0.00034860-0.00009809i, +0.00008628-0.00011258i, +0.00007421-0.00015548i, +0.00003621-0.00020099i, +0.00000261+0.00007598i, -0.00000811+0.00019110i, +0.00060736+0.00052704i, -0.00021205+0.00007837i, -0.00001029+0.00009189i, +0.00016128-0.00005416i, -0.00005611+0.00035268i, -0.00023895-0.00001375i, -0.00000412+0.00028371i, -0.00005343-0.00001574i, -0.00020954+0.00016014i, -0.00001728-0.00006331i, +0.00006913-0.00018280i, +0.00000621+0.00003801i, +0.00006901-0.00008702i, +0.00006195+0.00000259i, -0.00001498+0.00011055i, -0.00028402-0.00008390i, +0.00007397-0.00033747i, +0.00000937-0.00007643i, +0.00023450+0.00003492i, -0.00010128-0.00002379i, +0.00016203-0.00014247i, +0.00003879-0.00004099i, -0.00009157-0.00015058i, -0.00014329+0.00009040i, -0.00016796-0.00014252i, -0.00007880-0.00003181i, -0.00003083+0.00006102i, -0.00010634+0.00004335i, +0.00010727-0.00001562i, +0.00007037-0.00009365i, +0.00018764-0.00013031i, +0.00030293-0.00002960i
-0.00016701-0.00005184i, +0.01568016-0.00000000i, +0.00016795-0.00021940i, +0.00023988-0.00006541i, -0.00012164-0.00017310i, +0.00013312-0.00019585i, -0.00008618+0.00006713i, -0.00010588+0.00014614i, -0.00010810-0.00016844i, -0.00026853+0.00025693i, +0.00039909+0.00017694i, +0.00002807-0.00017188i, -0.00012159-0.00000501i, -0.00022933-0.00017696i, +0.00003500-0.00016884i, -0.00009167+0.00023109i, -0.00004970+0.00005371i, +0.00002749-0.00011095i, -0.00012732+0.00008502i, +0.00013588-0.00043996i, +0.00013097+0.00004861i, +0.00024881-0.00004184i, -0.00008654+0.00016483i, -0.00003690+0.00013805i, -0.00000508+0.00001849i, +0.00012278+0.00003151i, +0.00015948-0.00015192i, +0.00001658-0.00005825i, -0.00011035+0.00014055i, -0.00007036+0.00007632i, -0.00005096+0.00001200i, -0.00000673-0.00005220i, -0.00034599-0.00019782i, +0.00039059+0.00005075i, +0.00003157-0.00014186i, +0.00001867-0.00003150i, -0.00003360-0.00016733i, +0.00018949+0.00017527i, -0.00013596-0.00011468i, +0.00011395-0.00010105i, +0.00020689-0.00015027i, +0.00003356+0.00018413i, -0.00015130+0.00012955i, +0.00011321+0.00005168i, +0.00012462-0.00012042i, -0.00004890-0.00015521i, +0.00013045+0.00004954i, +0.00041111+0.00004546i, +0.00000149-0.00008156i, +0.00023014-0.00039292i, -0.00012961+0.00007583i, +0.00015745-0.00010483i, -0.00015021+0.00003038i, +0.00005203+0.00006652i, -0.00000446+0.00014985i, +0.00025512-0.00016700i, +0.00003344+0.00013997i, -0.00010004-0.00002640i, -0.00008150-0.00015440i, +0.00019144+0.00007893i, -0.00010426+0.00002706i, +0.00014049+0.00021509i, -0.00018928+0.00020955i, -0.00038034+0.00009134i
-0.00017687-0.00008635i, +0.00016795+0.00021940i, +0.01592921-0.00000000i, -0.00003937+0.00035361i, +0.00029817-0.00023023i, +0.00018841+0.00020756i, -0.00000659-0.00002099i, -0.00006306-0.00022027i, +0.00033994+0.00008724i, -0.00010018-0.00005384i, -0.00031259+0.00010067i, +0.00005485-0.00012621i, +0.00005210+0.00000758i, +0.00011250+0.00007009i, +0.00017850+0.00016992i, -0.00013203-0.00008502i, +0.00004664+0.00009653i, +0.00002961-0.00010273i, +0.00015001-0.00022270i, +0.00013850+0.00006860i, -0.00016590+0.00011735i, -0.00000906-0.00001355i, -0.00034362-0.00001755i, -0.00007512-0.00016888i, +0.00002719+0.00000878i, -0.00016727+0.00018837i, -0.00014108+0.00005931i, -0.00018235-0.00013029i, +0.00000732-0.00007751i, -0.00010087-0.00022133i, +0.00013701+0.00020459i, +0.00003686-0.00017716i, +0.00027704-0.00017846i, +0.00010347+0.00024153i, +0.00068038+0.00037252i, -0.00011565-0.00010060i, +0.00030693+0.00011511i, -0.00006119+0.00024895i, +0.00002797+0.00000986i, -0.00012653+0.00013294i, +0.00014149+0.00009146i, -0.00013462-0.00003849i, -0.00016967-0.00018563i, +0.00007048+0.00012672i, +0.00006758+0.00008484i, +0.00003705+0.00011844i, -0.00004819+0.00014594i, -0.00005204+0.00023333i, -0.00001348+0.00013830i, +0.00003304-0.00010651i, +0.00001113-0.00041882i, -0.00003108+0.00018887i, -0.00017889-0.00013494i, -0.00016269-0.00016468i, +0.00000034-0.00017698i, +0.00004220+0.00018862i, -0.00013925-0.00000448i, -0.00001046-0.00003655i, +0.00011872-0.00014101i, -0.00002400+0.00003873i, -0.00012623-0.00003049i, -0.00001296-0.00004883i, -0.00015315-0.00020394i, +0.00002530-0.00021474i
+0.00008504+0.00017534i, +0.00023988+0.00006541i, -0.00003937-0.00035361i, +0.01553184+0.00000000i, -0.00020842-0.00014670i, +0.00003730-0.00029715i, -0.00014290+0.00007816i, -0.00021231+0.00012707i, -0.00014111-0.00040877i, -0.00012779-0.00011894i, +0.00034900+0.00002520i, -0.00016853-0.00009783i, -0.00012090+0.00000612i, +0.00002181+0.00012989i, -0.00013290-0.00009903i, +0.00007332+0.00015695i, +0.00001573+0.00019460i, -0.00002798+0.00013949i, -0.00010908+0.00004153i, +0.00008152-0.00038863i, +0.00018860+0.00005031i, +0.00015057+0.00010841i, +0.00001583+0.00018713i, -0.00028435+0.00006556i, -0.00005146-0.00006086i, +0.00005943+0.00011565i, +0.00019268-0.00008081i, +0.00003797-0.00005039i, -0.00003756+0.00004153i, -0.00000428+0.00031208i, -0.00001982-0.00029338i, -0.00013075+0.00028015i, -0.00022082-0.00011166i, -0.00001419-0.00014070i, +0.00004506-0.00011750i, +0.00019725+0.00007520i, -0.00019487-0.00029756i, +0.00025982-0.00001101i, -0.00006926-0.00011478i, +0.00005645-0.00014124i, +0.00017393-0.00019319i, -0.00007087+0.00008599i, -0.00012509+0.00017845i, -0.00003254-0.00013217i, +0.00010284-0.00006827i, -0.00006895+0.00002885i, +0.00005279+0.00005418i, +0.00016379+0.00022870i, +0.00013945+0.00003401i, +0.00010575+0.00000534i, -0.00023919+0.00009993i, +0.00021587-0.00024771i, -0.00008766+0.00018263i, +0.00011896+0.00015338i, -0.00000347+0.00010479i, +0.00030189-0.00021501i, +0.00004871+0.00003749i, -0.00000866-0.00012519i, -0.00018106-0.00014324i, +0.00008464+0.00008040i, -0.00003154+0.00010678i, -0.00001035+0.00031330i, -0.00020628+0.00015532i, -0.00045268+0.00006356i
+0.00014078-0.00019776i, -0.00012164+0.00017310i, +0.00029817+0.00023023i, -0.00020842+0.00014670i, +0.01566380+0.00000000i, -0.00005780+0.00048675i, +0.00016452-0.00003386i, -0.00013819-0.00007992i, +0.00021336+0.00049422i, +0.00014621+0.00016485i, -0.00054173+0.00001129i, +0.00017034+0.00006088i, +0.00013100+0.00000772i, -0.00002983-0.00001767i, +0.00010540+0.00041358i, -0.00022170-0.00026655i, +0.00013491-0.00007789i, +0.00006663-0.00006473i, +0.00013877+0.00003282i, +0.00001760+0.00030768i, -0.00014914-0.00014518i, -0.00005696-0.00000714i, -0.00005916-0.00016834i, +0.00004158-0.00026441i, -0.00002402+0.00030134i, -0.00007045+0.00005668i, -0.00018454+0.00013163i, +0.00003959-0.00005950i, -0.00006184-0.00026068i, +0.00004511-0.00028111i, +0.00005857+0.00032987i, -0.00000492+0.00010599i, +0.00042532+0.00008169i, -0.00003411+0.00018756i, +0.00022867+0.00023595i, -0.00000683-0.00008790i, +0.00067765+0.00049184i, -0.00045108+0.00002834i, +0.00014314+0.00004710i, -0.00012407+0.00000695i, -0.00005758+0.00036481i, -0.00008938+0.00003907i, +0.00001117-0.00017471i, -0.00000992+0.00006100i, +0.00002384+0.00003385i, -0.00003335+0.00000121i, +0.00005222+0.00007785i, -0.00035203+0.00008477i, -0.00012246+0.00004186i, +0.00012883+0.00000004i, +0.00032678-0.00007268i, -0.00010288+0.00011393i, +0.00000719-0.00041139i, -0.00000442-0.00009438i, +0.00011798-0.00006396i, -0.00009529+0.00012593i, -0.00015870-0.00002776i, +0.00012710+0.00014587i, +0.00026689+0.00016497i, -0.00009451+0.00008780i, -0.00010862-0.00018198i, -0.00004099-0.00024085i, -0.00000368-0.00012010i, +0.00029406-0.00020183i
-0.00009362-0.00014836i, +0.00013312+0.00019585i, +0.00018841-0.00020756i, +0.00003730+0.00029715i, -0.00005780-0.00048675i, +0.01559861-0.00000000i, -0.00034553-0.00032023i, -0.00021402-0.00007691i, +0.00045505-0.00008028i, +0.00009934-0.00001619i, -0.00001257+0.00047637i, +0.00011210-0.00014584i, +0.00001643-0.00016346i, -0.00000345+0.00002999i, +0.00011604-0.00017947i, -0.00029202+0.00002566i, -0.00004829-0.00005268i, +0.00003078-0.00018045i, -0.00015409-0.00009062i, +0.00034338-0.00010547i, +0.00000371+0.00032958i, -0.00002047+0.00016376i, -0.00023723+0.00016168i, -0.00032768-0.00004133i, -0.00002313+0.00000405i, -0.00019453+0.00036007i, +0.00008138+0.00030269i, -0.00019044-0.00002597i, -0.00014844-0.00009540i, -0.00036120-0.00002190i, +0.00012455-0.00001348i, +0.00005517-0.00006219i, +0.00006638-0.00045174i, +0.00041790-0.00008008i, +0.00018429-0.00006181i, -0.00021143-0.00005810i, +0.00017480-0.00024628i, +0.00027587+0.00034171i, +0.00013017-0.00013826i, +0.00001042+0.00021005i, +0.00027367+0.00014207i, -0.00011092+0.00015687i, -0.00024982-0.00012374i, +0.00007726+0.00001726i, +0.00019759+0.00009230i, -0.00005831-0.00012419i, +0.00001417+0.00006067i, -0.00010526+0.00051248i, +0.00007787+0.00001105i, +0.00003333+0.00012949i, -0.00000938-0.00034326i, +0.00004739+0.00007961i, -0.00024724-0.00017041i, -0.00019029-0.00016938i, -0.00025557-0.00002535i, +0.00019998+0.00019779i, +0.00006906+0.00017330i, +0.00005247-0.00009294i, +0.00012442-0.00027262i, +0.00005028+0.00023801i, -0.00009813+0.00002892i, -0.00049852-0.00002663i, -0.00041475-0.00022048i, -0.00017582-0.00044532i
-0.00005422-0.00010321i, -0.00008618-0.00006713i, -0.00000659+0.00002099i, -0.00014290-0.00007816i, +0.00016452+0.00003386i, -0.00034553+0.00032023i, +0.01574146+0.00000000i, +0.00014431+0.00025563i, -0.00012154+0.00031984i, +0.00013015+0.00016997i, -0.00036889-0.00035493i, +0.00002462-0.00001415i, -0.00019749+0.00019136i, +0.00015601+0.00010080i, -0.00007089+0.00019473i, -0.00005919-0.00020020i, -0.00007146-0.00013452i, -0.00001766-0.00000873i, +0.00000772+0.00001393i, -0.00012149+0.00009809i, -0.00009224-0.00011667i, -0.00006404-0.00010878i, +0.00023655-0.00013328i, +0.00008897-0.00006279i, -0.00005017+0.00013231i, +0.00005753-0.00012390i, -0.00020826-0.00024650i, -0.00004790-0.00002654i, +0.00026823-0.00002973i, +0.00017573-0.00009047i, -0.00008325+0.00009174i, +0.00012581+0.00013714i, +0.00023546+0.00021442i, -0.00010990-0.00001407i, +0.00002229+0.00002660i, +0.00003535+0.00001423i, -0.00005413+0.00024194i, -0.00019527-0.00017617i, +0.00044181+0.00029603i, +0.00001119-0.00005311i, -0.00018627+0.00005655i, -0.00001437-0.00003400i, +0.00021567-0.00006669i, -0.00009251+0.00007386i, -0.00021353-0.00005584i, +0.00005162+0.00000904i, -0.00010702-0.00019444i, -0.00015336-0.00009263i, -0.00014832-0.00000305i, -0.00003406+0.00001162i, +0.00003961+0.00007429i, -0.00017858+0.00003662i, +0.00022016-0.00014691i, +0.00003341-0.00026321i, +0.00015073-0.00015416i, -0.00010025+0.00004768i, -0.00002334+0.00010601i, +0.00008302+0.00010895i, -0.00003763+0.00016376i, -0.00000114-0.00015488i, -0.00004998-0.00014509i, +0.00012082-0.00004277i, +0.00024491-0.00019058i, +0.00019336+0.00007201i
+0.00017911+0.00008031i, -0.00010588-0.00014614i, -0.00006306+0.00022027i, -0.00021231-0.00012707i, -0.00013819+0.00007992i, -0.00021402+0.00007691i, +0.00014431-0.00025563i, +0.01540362+0.00000000i, -0.00013552+0.00033972i, +0.00010139+0.00007764i, -0.00041860-0.00026324i, -0.00001595-0.00006153i, +0.00020381+0.00019047i, -0.00001968+0.00013924i, -0.00001056+0.00017266i, +0.00014406-0.00020392i, +0.00001126-0.00000660i, +0.00011383+0.00000890i, +0.00007989+0.00006932i, -0.00034777+0.00022497i, -0.00000969-0.00025107i, -0.00007412-0.00006681i, +0.00011653-0.00017968i, +0.00046123-0.00015617i, +0.00014995+0.00010556i, +0.00000297-0.00009872i, -0.00039501-0.00000646i, +0.00001695-0.00047294i, +0.00008257-0.00011715i, +0.00013586-0.00007701i, -0.00006309+0.00018503i, +0.00013447+0.00013195i, +0.00024939+0.00033986i, -0.00020572+0.00004810i, -0.00002792+0.00025684i, +0.00005263-0.00017457i, -0.00006442+0.00028661i, -0.00016729-0.00020493i, -0.00002869+0.00013020i, -0.00002211-0.00002532i, -0.00016332+0.00013401i, +0.00003992-0.00018299i, +0.00007966-0.00015222i, +0.00001747+0.00005001i, -0.00013685+0.00002047i, +0.00012855-0.00007175i, -0.00006929+0.00000563i, -0.00047103-0.00033726i, -0.00012424-0.00005962i, -0.00000810-0.00012854i, +0.00013117+0.00012952i, -0.00019551-0.00002103i, +0.00025078-0.00011236i, +0.00007382-0.00015137i, +0.00007378-0.00002562i, -0.00030191-0.00004494i, -0.00011129-0.00015436i, +0.00001332+0.00009692i, -0.00000035+0.00024943i, -0.00008102+0.00005787i, +0.00006833-0.00011254i, +0.00014634-0.00014011i, +0.00015342-0.00007255i, +0.00042839+0.00015714i
-0.00010297-0.00021571i, -0.00010810+0.00016844i, +0.00033994-0.00008724i, -0.00014111+0.00040877i, +0.00021336-0.00049422i, +0.00045505+0.00008028i, -0.00012154-0.00031984i, -0.00013552-0.00033972i, +0.01583421+0.00000000i, +0.00008572-0.00002933i, -0.00030823+0.00058497i, +0.00047766-0.00007011i, +0.00016134-0.00009345i, +0.00000945-0.00005149i, +0.00041968+0.00002554i, -0.00021223+0.00011438i, -0.00023979-0.00014364i, -0.00010009-0.00006890i, -0.00004355-0.00010991i, +0.00021869+0.00010441i, -0.00024875+0.00037991i, -0.00019994+0.00021502i, -0.00019266-0.00001949i, -0.00016305-0.00028059i, +0.00042343-0.00018556i, -0.00021425+0.00006319i, +0.00020516+0.00065456i, -0.00023588+0.00000680i, -0.00029290-0.00016373i, -0.00034992-0.00016808i, +0.00012544+0.00008184i, +0.00007301-0.00012616i, +0.00031603-0.00050975i, +0.00018083+0.00010922i, +0.00042764+0.00013084i, -0.00002500+0.00002999i, +0.00054182+0.00006173i, -0.00011019+0.00022802i, +0.00021959-0.00009753i, -0.00008542+0.00009022i, +0.00061765+0.00050171i, -0.00003051-0.00001277i, -0.00014733-0.00011113i, +0.00018459+0.00004878i, +0.00012348+0.00001275i, +0.00007732-0.00002982i, -0.00010018+0.00001789i, -0.00007444+0.00048887i, -0.00002989+0.00024514i, +0.00006470+0.00013420i, -0.00007637-0.00028934i, -0.00004319+0.00017513i, -0.00039426-0.00013225i, -0.00030516-0.00000547i, -0.00020448-0.00005687i, +0.00024688+0.00025768i, -0.00021604+0.00007928i, +0.00004325-0.00010001i, +0.00033276-0.00014440i, -0.00000668+0.00023871i, -0.00015061-0.00012968i, -0.00033980-0.00017126i, -0.00020585-0.00019421i, +0.00007302-0.00053030i
-0.00005072+0.00000547i, -0.00026853-0.00025693i, -0.00010018+0.00005384i, -0.00012779+0.00011894i, +0.00014621-0.00016485i, +0.00009934+0.00001619i, +0.00013015-0.00016997i, +0.00010139-0.00007764i, +0.00008572+0.00002933i, +0.01533651+0.00000000i, -0.00003647+0.00030596i, +0.00021587-0.00013744i, +0.00005079-0.00001345i, +0.00017192+0.00000490i, +0.00010806+0.00008132i, +0.00010604-0.00017110i, -0.00013063-0.00002027i, -0.00017352+0.00002349i, -0.00005087-0.00004516i, -0.00007069+0.00017345i, -0.00016810-0.00004786i, -0.00013809-0.00002234i, +0.00000869-0.00005250i, -0.00005723-0.00013092i, +0.00006645+0.00006198i, +0.00021480-0.00039389i, -0.00017618+0.00013048i, -0.00009302-0.00000311i, +0.00007430-0.00011229i, -0.00003897-0.00017961i, +0.00002096+0.00012410i, -0.00008363-0.00014963i, +0.00022108+0.00013985i, +0.00015233+0.00000267i, -0.00001408-0.00000563i, -0.00009725-0.00017084i, +0.00014880+0.00002299i, -0.00000801+0.00020012i, +0.00017127+0.00002247i, -0.00013159+0.00012807i, +0.00000680+0.00003987i, +0.00022032+0.00014379i, +0.00005344-0.00001000i, +0.00000643-0.00002010i, -0.00008560-0.00003562i, +0.00005514+0.00001839i, -0.00002740+0.00006514i, -0.00027693+0.00007708i, -0.00020747-0.00007520i, -0.00013532+0.00001017i, +0.00017026-0.00013924i, -0.00003732+0.00009021i, +0.00001492-0.00010305i, -0.00015215-0.00018003i, +0.00003653-0.00009691i, -0.00011557+0.00007169i, -0.00005762+0.00003078i, -0.00011901+0.00004825i, +0.00008536+0.00007288i, -0.00030488+0.00001533i, -0.00001434-0.00014201i, -0.00001004-0.00020522i, +0.00003649-0.00007617i, +0.00019849+0.00000563i
-0.00024011+0.00039685i, +0.00039909-0.00017694i, -0.00031259-0.00010067i, +0.00034900-0.00002520i, -0.00054173-0.00001129i, -0.00001257-0.00047637i, -0.00036889+0.00035493i, -0.00041860+0.00026324i, -0.00030823-0.00058497i, -0.00003647-0.00030596i, +0.01644474+0.00000000i, -0.00019253+0.00019095i, -0.00062783-0.00005872i, -0.00012139-0.00002059i, -0.00032231-0.00043121i, +0.00011863+0.00016841i, +0.00010629+0.00011368i, -0.00016320+0.00013141i, -0.00034231+0.00009454i, +0.00005416-0.00055723i, +0.00062896+0.00019604i, +0.00026469+0.00013130i, -0.00003559+0.00039766i, -0.00035561+0.00043385i, -0.00018938-0.00013320i, +0.00030808+0.00008145i, +0.00079709-0.00042961i, +0.00008580+0.00030861i, +0.00000111+0.00033016i, -0.00007584+0.00047743i, -0.00000333-0.00023823i, -0.00012220+0.00009340i, -0.00071209-0.00037946i, +0.00000379-0.00045016i, -0.00045662-0.00051784i, -0.00004002+0.00011391i, -0.00038980-0.00056611i, +0.00061197-0.00004869i, -0.00016156-0.00052077i, +0.00032739+0.00000920i, +0.00031852-0.00048164i, +0.00010314+0.00009044i, +0.00017799+0.00067042i, +0.00006069-0.00013935i, +0.00020180-0.00014670i, -0.00000602+0.00006764i, +0.00005480-0.00001066i, +0.00066134-0.00019701i, +0.00019292-0.00013738i, +0.00012328+0.00003402i, -0.00060868+0.00018299i, +0.00025466-0.00008604i, -0.00013325+0.00041618i, +0.00003865+0.00032811i, -0.00000770+0.00007068i, +0.00029483-0.00041574i, +0.00029379-0.00007957i, -0.00014102-0.00012237i, -0.00067628-0.00050950i, +0.00031595-0.00008025i, +0.00003569+0.00021084i, -0.00012329+0.00060758i, -0.00033474+0.00053102i, -0.00074925+0.00031690i
+0.00028814+0.00010880i, +0.00002807+0.00017188i, +0.00005485+0.00012621i, -0.00016853+0.00009783i, +0.00017034-0.00006088i, +0.00011210+0.00014584i, +0.00002462+0.00001415i, -0.00001595+0.00006153i, +0.00047766+0.00007011i, +0.00021587+0.00013744i, -0.00019253-0.00019095i, +0.01537376+0.00000000i, +0.00019055+0.00011750i, +0.00007915+0.00003345i, +0.00005612+0.00005570i, +0.00004473+0.00006307i, +0.00004936-0.00003120i, +0.00005416+0.00000548i, +0.00006613-0.00001752i, -0.00013583+0.00004808i, -0.00012455+0.00006388i, -0.00008498-0.00001145i, -0.00019978-0.00002376i, +0.00003447-0.00013228i, +0.00015103+0.00018166i, -0.00011291+0.00005960i, -0.00001698+0.00006433i, +0.00014851-0.00021839i, -0.00004069-0.00001092i, -0.00010318-0.00019262i, -0.00001836+0.00006783i, -0.00001244+0.00007030i, +0.00019195-0.00003402i, +0.00009023+0.00021006i, +0.00010884+0.00002187i, -0.00002327-0.00012377i, +0.00010431+0.00008631i, -0.00006648+0.00021508i, +0.00003756+0.00003424i, -0.00009750-0.00002807i, +0.00010067+0.00009927i, +0.00000590+0.00012181i, +0.00000728-0.00015007i, +0.00012784+0.00022909i, +0.00002021+0.00003062i, +0.00000968+0.00003523i, -0.00003656-0.00004672i, -0.00023401+0.00010039i, +0.00003578-0.00000223i, +0.00001844-0.00008092i, +0.00003534-0.00011990i, -0.00011089+0.00009863i, +0.00002484-0.00017800i, -0.00007766-0.00019772i, -0.00007224-0.00006074i, +0.00004814+0.00011651i, -0.00013793+0.00007237i, +0.00019049-0.00007898i, +0.00020548+0.00002147i, -0.00031007+0.00020029i, -0.00006099-0.00001966i, +0.00000604-0.00008921i, +0.00000266+0.00007311i, +0.00005014+0.00006869i
-0.00000233+0.00000218i, -0.00012159+0.00000501i, +0.00005210-0.00000758i, -0.00012090-0.00000612i, +0.00013100-0.00000772i, +0.00001643+0.00016346i, -0.00019749-0.00019136i, +0.00020381-0.00019047i, +0.00016134+0.00009345i, +0.00005079+0.00001345i, -0.00062783+0.00005872i, +0.00019055-0.00011750i, +0.01558310+0.00000000i, +0.00001918+0.00022836i, +0.00038518+0.00015047i, -0.00015652+0.00004977i, -0.00001143-0.00004761i, +0.00025656-0.00007381i, +0.00016221-0.00013749i, +0.00012105+0.00033525i, +0.00000273+0.00015003i, -0.00000951-0.00012786i, +0.00010027-0.00034468i, +0.00009751-0.00013539i, +0.00015541+0.00004362i, -0.00017199+0.00001195i, -0.00017406+0.00007554i, -0.00001644-0.00010670i, +0.00017229-0.00019484i, -0.00000349-0.00018374i, +0.00007578+0.00030407i, -0.00011035+0.00000177i, +0.00024545-0.00005045i, +0.00007525+0.00011937i, +0.00010430+0.00022041i, +0.00000193-0.00004758i, +0.00035598+0.00014231i, -0.00011014-0.00003857i, -0.00001661-0.00015274i, -0.00016404+0.00010903i, +0.00003022+0.00010690i, -0.00001937-0.00010828i, +0.00007367-0.00028671i, +0.00002693+0.00000752i, +0.00009021+0.00027243i, +0.00003121+0.00010165i, -0.00010822+0.00007356i, -0.00038790+0.00012724i, +0.00000692+0.00004708i, -0.00001288-0.00004341i, +0.00012558-0.00008800i, -0.00011215+0.00001845i, -0.00008225-0.00023759i, -0.00003213-0.00016493i, -0.00005484-0.00008766i, -0.00003874+0.00017965i, -0.00009931-0.00013368i, -0.00000393-0.00003033i, +0.00025857+0.00023894i, -0.00009252+0.00005645i, -0.00014987+0.00010780i, -0.00002471-0.00027016i, +0.00018287-0.00011680i, +0.00036462-0.00017751i
-0.00011433+0.00003282i, -0.00022933+0.00017696i, +0.00011250-0.00007009i, +0.00002181-0.00012989i, -0.00002983+0.00001767i, -0.00000345-0.00002999i, +0.00015601-0.00010080i, -0.00001968-0.00013924i, +0.00000945+0.00005149i, +0.00017192-0.00000490i, -0.00012139+0.00002059i, +0.00007915-0.00003345i, +0.00001918-0.00022836i, +0.01520088-0.00000000i, -0.00030031+0.00006374i, -0.00002847+0.00009489i, +0.00001326+0.00006752i, -0.00000835-0.00012586i, -0.00001385-0.00000139i, -0.00005152-0.00000420i, +0.00011583+0.00001421i, +0.00002986+0.00016500i, +0.00009845-0.00001699i, -0.00009673-0.00002240i, +0.00004354-0.00001901i, +0.00002673+0.00006115i, +0.00011241-0.00004138i, -0.00004223-0.00000987i, -0.00000303-0.00001205i, +0.00004290-0.00011199i, -0.00000218-0.00013392i, +0.00005402-0.00015562i, -0.00000078-0.00017302i, -0.00001354-0.00008621i, -0.00009871-0.00008331i, -0.00010421+0.00005517i, +0.00003098-0.00003824i, +0.00017591-0.00012343i, +0.00002548-0.00004375i, +0.00003245+0.00015969i, -0.00002874-0.00012078i, +0.00004571+0.00010461i, -0.00011323-0.00001463i, -0.00007276+0.00008434i, -0.00001735-0.00005600i, +0.00024214+0.00007472i, +0.00000679-0.00005955i, +0.00008755+0.00000218i, +0.00003391+0.00000204i, +0.00004738-0.00006949i, -0.00002490+0.00001963i, +0.00008762+0.00008983i, +0.00001621-0.00004171i, -0.00000051+0.00002244i, -0.00005390-0.00004963i, +0.00004198-0.00000268i, -0.00000589-0.00003292i, +0.00006971-0.00015416i, -0.00008116-0.00006408i, -0.00001239+0.00000408i, +0.00000053+0.00006893i, -0.00015078+0.00024953i, +0.00009946-0.00004136i, -0.00009954-0.00013392i
-0.00007344-0.00004480i, +0.00003500+0.00016884i, +0.00017850-0.00016992i, -0.00013290+0.00009903i, +0.00010540-0.00041358i, +0.00011604+0.00017947i, -0.00007089-0.00019473i, -0.00001056-0.00017266i, +0.00041968-0.00002554i, +0.00010806-0.00008132i, -0.00032231+0.00043121i, +0.00005612-0.00005570i, +0.00038518-0.00015047i, -0.00030031-0.00006374i, +0.01591233+0.00000000i, -0.00020390+0.00031274i, -0.00005918-0.00009451i, +0.00000524-0.00004952i, -0.00010223-0.00007645i, +0.00029009+0.00001516i, -0.00030336+0.00024271i, -0.00012583+0.00008776i, -0.00013172+0.00000746i, -0.00022415-0.00001274i, -0.00004276+0.00017973i, -0.00015895+0.00007055i, +0.00016166+0.00025411i, -0.00012522+0.00000731i, -0.00014594-0.00004640i, -0.00005556-0.00015251i, +0.00035798-0.00008173i, +0.00005269-0.00004520i, +0.00020456-0.00024924i, +0.00015702+0.00013332i, +0.00026257-0.00003944i, +0.00000958+0.00001111i, +0.00031580-0.00002715i, -0.00007678+0.00015438i, +0.00002974-0.00007304i, -0.00005158+0.00012591i, +0.00018005+0.00006996i, +0.00001265+0.00005025i, -0.00026297-0.00009623i, +0.00004489-0.00008131i, +0.00005611+0.00019652i, -0.00006324-0.00013867i, +0.00022083+0.00030095i, -0.00006293+0.00030836i, -0.00001126-0.00001668i, -0.00002125+0.00001486i, -0.00009872-0.00013347i, +0.00010955+0.00008230i, -0.00013269-0.00014839i, -0.00020765-0.00004327i, -0.00013192-0.00011786i, +0.00016024+0.00024437i, -0.00000445+0.00009926i, +0.00016274-0.00001452i, +0.00027684+0.00003688i, +0.00005296+0.00022708i, -0.00014600+0.00002086i, -0.00024952-0.00017271i, -0.00015540-0.00005510i, -0.00003411-0.00043700i
