+0.00009319+0.00046271i, +0.00277968+0.00096870i, -0.00084991+0.00082271i, +0.00081757-0.00071963i, -0.00037213+0.00027636i, -0.00025086-0.00139411i, +0.00016821-0.00064436i, -0.00069546-0.00022944i, +0.00056470+0.00095919i, +0.00057892+0.00012443i, +0.00112239+0.00001174i, -0.00077313-0.00097381i, -0.00043137-0.00056076i, +0.00046771-0.00189250i, -0.00051437+0.00011871i, +0.00095884+0.00135001i, +0.00127565+0.00037087i, -0.00186459-0.00181550i, -0.00127901-0.00043212i, +0.00049417-0.00058009i, +0.00036696+0.00044313i, +0.00026750+0.00014022i, -0.00050293+0.00150069i, -0.00157976+0.00058268i, +0.00052808+0.00154610i, -0.00147193-0.00007943i, +0.00136004-0.00034759i, -0.00012779+0.00159416i, +0.00106765+0.00133586i, +0.00087461-0.00111542i, -0.00115863-0.00071747i, +0.00103345+0.00052804i, +0.00030345+0.00037971i, +0.00016909+0.00023420i, -0.00063791-0.00002298i, +0.00112601-0.00029326i, -0.00133202+0.00023015i, +0.00011610-0.00042724i, -0.00032528+0.00031244i, +0.00040240-0.00050787i, -0.00036833+0.00060636i, -0.00029352+0.00017662i, -0.00113420-0.00155822i, +0.00019319+0.00106433i, -0.00032451+0.00017650i, -0.00086866+0.00082819i, -0.00005556-0.00149109i, +0.00012469+0.00080420i, +0.00243774-0.00065441i, +0.00127128-0.00148077i, -0.00042911+0.00159908i, +0.00122007+0.00122192i, -0.00010525-0.00105432i, -0.00204757+0.00051298i, +0.00060919-0.00024949i, -0.00192812+0.00288067i, +0.00258827+0.00130077i, -0.00018460-0.00066256i, -0.00049532-0.00001117i, -0.00135519-0.00165760i, -0.00188718-0.00181279i, +0.00067385+0.00052886i, -0.00118959+0.00051544i, +0.01690937-0.00000000i
+0.01497015-0.00000000i, +0.00139966-0.00369438i, +0.00062297+0.00130033i, +0.00111437-0.00026444i, -0.00020060-0.00064017i, -0.00095075+0.00041838i, -0.00056625-0.00025210i, -0.00228838+0.00223861i, +0.00048190-0.00047098i, +0.00090590-0.00052070i, +0.00000271-0.00046296i, -0.00068583-0.00076620i, -0.00056701-0.00025803i, -0.00162208-0.00073957i, -0.00052329+0.00009130i, +0.00085634-0.00016266i, +0.00008030-0.00158388i, -0.00141694+0.00061440i, -0.00031627+0.00074603i, -0.00041453-0.00081622i, +0.00004062+0.00052239i, +0.00045890+0.00018784i, +0.00088240-0.00050799i, +0.00013834+0.00190071i, +0.00080125-0.00098008i, -0.00071963+0.00059188i, +0.00021164-0.00135829i, +0.00026089+0.00053719i, +0.00123117-0.00109564i, -0.00041017+0.00010319i, -0.00056394+0.00029800i, -0.00022364-0.00005721i, -0.00003754-0.00006175i, +0.00060460+0.00043568i, -0.00116415+0.00089709i, +0.00030154-0.00099249i, -0.00023677+0.00104182i, -0.00070681-0.00052842i, -0.00041265+0.00020163i, -0.00039532-0.00048438i, +0.00020442+0.00117329i, -0.00016236+0.00054044i, -0.00172297+0.00018401i, +0.00125368-0.00015842i, -0.00016002+0.00051931i, +0.00036460+0.00118390i, -0.00050123+0.00002795i, +0.00068609+0.00019846i, +0.00087487-0.00290628i, -0.00067788-0.00124022i, +0.00111032+0.00088605i, +0.00102346-0.00049749i, -0.00168638+0.00005008i, -0.00004851+0.00143174i, +0.00033205-0.00068668i, +0.00166285+0.00204783i, +0.00027671-0.00058392i, -0.00041272+0.00024793i, +0.00021185+0.00016287i, -0.00113161+0.00101701i, -0.00107835+0.00001040i, -0.00024115-0.00011002i, -0.00042762+0.00071019i, +0.00009319-0.00046271i
+0.00139966+0.00369438i, +0.02103161-0.00000000i, -0.00138124+0.00349873i, +0.00034840-0.00025155i, -0.00052110-0.00030589i, -0.00161993-0.00223755i, -0.00066210-0.00289362i, -0.00315526-0.00088590i, +0.00151331+0.00261378i, +0.00298831+0.00007266i, +0.00274767-0.00037466i, +0.00004532-0.00177739i, -0.00023175+0.00053741i, +0.00009257-0.00475602i, -0.00079940+0.00087442i, +0.00107060+0.00315954i, +0.00355597+0.00003681i, -0.00430659-0.00234057i, -0.00235196-0.00020944i, +0.00090249-0.00126239i, +0.00013109+0.00107224i, -0.00087615+0.00066322i, +0.00031631+0.00251326i, -0.00362015+0.00201520i, +0.00201916+0.00313614i, -0.00284828-0.00096605i, +0.00322489-0.00055619i, -0.00037577+0.00258885i, +0.00324193+0.00194728i, +0.00034369-0.00283796i, -0.00121364-0.00139495i, +0.00126364+0.00020303i, +0.00030396+0.00025220i, +0.00045436+0.00062833i, -0.00204395-0.00045437i, +0.00192114-0.00057933i, -0.00303054+0.00055355i, +0.00046385-0.00235273i, -0.00119139-0.00009240i, +0.00051570-0.00102997i, -0.00092902+0.00176312i, -0.00113171+0.00065656i, -0.00277944-0.00273157i, +0.00067065+0.00193280i, -0.00108900+0.00032186i, -0.00168541+0.00218692i, -0.00081072-0.00137429i, +0.00083153+0.00137429i, +0.00476739-0.00234421i, +0.00211561-0.00386442i, -0.00017733+0.00406025i, +0.00254429+0.00204935i, -0.00036736-0.00160926i, -0.00431444+0.00217108i, +0.00106395-0.00007000i, -0.00225894+0.00627449i, +0.00160679+0.00023484i, -0.00178740+0.00007029i, +0.00111333-0.00036171i, -0.00342012-0.00177489i, -0.00176908-0.00159483i, -0.00052309-0.00112885i, -0.00066956+0.00094413i, +0.00277968-0.00096870i
+0.00062297-0.00130033i, -0.00138124-0.00349873i, +0.01443207-0.00000000i, -0.00135394-0.00063996i, -0.00004250+0.00036640i, -0.00029399+0.00216388i, -0.00029755+0.00088916i, +0.00145845+0.00089670i, +0.00081269-0.00134359i, -0.00122969-0.00120676i, -0.00042527-0.00098574i, -0.00121201+0.00033578i, +0.00028844+0.00024880i, -0.00130450+0.00089910i, +0.00061647+0.00060580i, +0.00015654-0.00138865i, -0.00081338-0.00117538i, +0.00036866+0.00210202i, -0.00034477+0.00056449i, -0.00072580+0.00008229i, +0.00055401-0.00062789i, +0.00026846+0.00031939i, +0.00085713-0.00062239i, +0.00144173+0.00073984i, +0.00082375-0.00076065i, +0.00050196+0.00107027i, -0.00168575-0.00156087i, +0.00109646-0.00008209i, -0.00003334-0.00186611i, -0.00100542+0.00055946i, +0.00020236+0.00138408i, -0.00024115-0.00030311i, +0.00028059-0.00031650i, +0.00006805-0.00044760i, +0.00028605+0.00089399i, -0.00062816-0.00034647i, +0.00112785+0.00097817i, -0.00078926+0.00054548i, +0.00005481+0.00039673i, -0.00025097+0.00017904i, +0.00089677-0.00002275i, +0.00071582+0.00015084i, +0.00010608+0.00205138i, +0.00067556-0.00070648i, +0.00024647+0.00043286i, +0.00139229+0.00011949i, -0.00017681+0.00049606i, +0.00047922-0.00106506i, -0.00226586-0.00134516i, -0.00131496+0.00006356i, +0.00205276-0.00213724i, -0.00046791-0.00129841i, -0.00078825+0.00031651i, +0.00171351+0.00097523i, +0.00047597-0.00055387i, +0.00279517-0.00080042i, -0.00085473-0.00113722i, +0.00001177+0.00041456i, -0.00030699-0.00116420i, -0.00002605+0.00142993i, -0.00056393+0.00167310i, -0.00018651+0.00093723i, +0.00125250+0.00024502i, -0.00084991-0.00082271i
+0.00111437+0.00026444i, +0.00034840+0.00025155i, -0.00135394+0.00063996i, +0.01576333+0.00000000i, -0.00220929-0.00080135i, -0.00028768+0.00000220i, -0.00018741-0.00053115i, +0.00002945+0.00058923i, -0.00024065+0.00093325i, +0.00067900-0.00012665i, +0.00076425+0.00024528i, -0.00025685-0.00049175i, -0.00092648+0.00002082i, +0.00023862-0.00075050i, -0.00026010-0.00056098i, +0.00008598+0.00146309i, +0.00063179-0.00006096i, -0.00080731-0.00092590i, +0.00026768-0.00092644i, -0.00049364-0.00136440i, +0.00052815+0.00044796i, +0.00030462+0.00102821i, -0.00044666+0.00044712i, -0.00038201-0.00005180i, +0.00022341+0.00055690i, -0.00131253-0.00036753i, +0.00140820+0.00031852i, -0.00054632+0.00046772i, +0.00087656+0.00071518i, +0.00048636-0.00032729i, -0.00028237-0.00057305i, +0.00023094+0.00018480i, -0.00003802+0.00013491i, -0.00002979+0.00027444i, -0.00066654-0.00007599i, +0.00003353+0.00007337i, -0.00056164+0.00014062i, -0.00002800-0.00068803i, -0.00018965-0.00023122i, +0.00019039-0.00019747i, -0.00014539+0.00010700i, -0.00042879+0.00044041i, -0.00043235-0.00103930i, +0.00035672+0.00083781i, -0.00028516-0.00043886i, -0.00058985+0.00028244i, +0.00015983-0.00078581i, +0.00025648+0.00029530i, +0.00121783-0.00040758i, +0.00020039-0.00028919i, -0.00049901+0.00079803i, +0.00129549-0.00055783i, -0.00026562-0.00070421i, -0.00083046+0.00043016i, +0.00039698+0.00020472i, -0.00035894+0.00139650i, +0.00041387+0.00048308i, +0.00007261-0.00014722i, +0.00040381-0.00015495i, -0.00035772-0.00135955i, +0.00020277-0.00082889i, +0.00028446-0.00070573i, -0.00073604-0.00006539i, +0.00081757+0.00071963i
-0.00020060+0.00064017i, -0.00052110+0.00030589i, -0.00004250-0.00036640i, -0.00220929+0.00080135i, +0.01329929-0.00000000i, +0.00091952-0.00068765i, +0.00016838-0.00027168i, -0.00046332+0.00085153i, -0.00071348-0.00090333i, +0.00006782+0.00066699i, -0.00067036+0.00008172i, +0.00055504+0.00034267i, -0.00017082-0.00071091i, +0.00069079+0.00074488i, +0.00027100-0.00036407i, -0.00020184-0.00044695i, -0.00008892+0.00043528i, +0.00126416-0.00035608i, +0.00009345+0.00042815i, +0.00044463+0.00023047i, -0.00035314-0.00095294i, -0.00028187-0.00062151i, +0.00005053-0.00082924i, -0.00008983-0.00039562i, -0.00048404-0.00053013i, +0.00110256-0.00057037i, -0.00030614+0.00044599i, -0.00072591-0.00040976i, -0.00052395+0.00037834i, -0.00017695+0.00046776i, +0.00034556-0.00007918i, -0.00032784+0.00028579i, +0.00012488-0.00021706i, -0.00027717+0.00025350i, -0.00024436-0.00006771i, -0.00017988+0.00009752i, +0.00037809-0.00010325i, +0.00069575+0.00075696i, +0.00019406-0.00038245i, +0.00015232+0.00007813i, -0.00015309-0.00030189i, +0.00014042-0.00007621i, +0.00039789+0.00031034i, -0.00031654+0.00001269i, -0.00017307-0.00086404i, +0.00038207-0.00011705i, +0.00064931-0.00003513i, -0.00042041+0.00015627i, +0.00024528+0.00129446i, +0.00034119+0.00023126i, -0.00047772-0.00021110i, -0.00030622-0.00029088i, +0.00091062-0.00081713i, +0.00013242-0.00072270i, -0.00022027+0.00014816i, -0.00070148-0.00106057i, -0.00048920+0.00003578i, +0.00058947-0.00057649i, -0.00020160+0.00024438i, +0.00032177+0.00013665i, +0.00047653+0.00062014i, +0.00047629-0.00014107i, -0.00062830-0.00064851i, -0.00037213-0.00027636i
-0.00095075-0.00041838i, -0.00161993+0.00223755i, -0.00029399-0.00216388i, -0.00028768-0.00000220i, +0.00091952+0.00068765i, +0.01475977+0.00000000i, -0.00007145-0.00057436i, +0.00076812-0.00063746i, -0.00057737+0.00002953i, -0.00079375+0.00018466i, -0.00021285-0.00010189i, +0.00011391+0.00079123i, +0.00068515-0.00002793i, +0.00021076+0.00095078i, -0.00010626-0.00009079i, -0.00067510+0.00003145i, -0.00123592+0.00060074i, +0.00171051-0.00022686i, +0.00045882-0.00035392i, +0.00003068+0.00072795i, +0.00032977-0.00041309i, -0.00079334-0.00067880i, -0.00021175-0.00059110i, +0.00048759-0.00122096i, -0.00115181-0.00023793i, +0.00075327-0.00088369i, -0.00079062+0.00076022i, -0.00047927-0.00111153i, -0.00110364-0.00026984i, +0.00031616+0.00102364i, +0.00076547-0.00003833i, -0.00010807-0.00012440i, -0.00014009+0.00000312i, -0.00057601+0.00004237i, +0.00042957-0.00023455i, -0.00039665+0.00046564i, +0.00062719-0.00078461i, +0.00015772+0.00081928i, +0.00070979-0.00013822i, +0.00008934+0.00064221i, -0.00029142-0.00081970i, +0.00011160-0.00014456i, +0.00130745+0.00011093i, -0.00037586-0.00070356i, +0.00010222-0.00046313i, -0.00010504-0.00124538i, +0.00070933+0.00027336i, -0.00089510-0.00053404i, -0.00089561+0.00137306i, +0.00090322+0.00106224i, -0.00076252-0.00112916i, -0.00092161-0.00037023i, +0.00070549+0.00001478i, +0.00131808-0.00234256i, -0.00002804+0.00001806i, -0.00023321-0.00231711i, -0.00047120+0.00022514i, +0.00028943-0.00009022i, +0.00006272+0.00035235i, +0.00156097-0.00008137i, +0.00079995+0.00007050i, +0.00055762+0.00075903i, -0.00004572+0.00002789i, -0.00025086+0.00139411i
-0.00056625+0.00025210i, -0.00066210+0.00289362i, -0.00029755-0.00088916i, -0.00018741+0.00053115i, +0.00016838+0.00027168i, -0.00007145+0.00057436i, +0.01333609-0.00000000i, -0.00071089-0.00069264i, -0.00041876-0.00006842i, +0.00019397+0.00050231i, +0.00029208+0.00111840i, +0.00038427-0.00009717i, +0.00002193+0.00034625i, +0.00132281+0.00039793i, -0.00035750-0.00022041i, -0.00151366-0.00015137i, -0.00028017+0.00083525i, +0.00029453-0.00068945i, -0.00046235-0.00009925i, +0.00040986-0.00008438i, -0.00008552+0.00023871i, -0.00015325-0.00001254i, -0.00076739-0.00005820i, -0.00028715-0.00149991i, -0.00067568+0.00034659i, +0.00049169-0.00025701i, +0.00015001+0.00146281i, -0.00115251-0.00028408i, -0.00034341+0.00045870i, +0.00041966+0.00027228i, +0.00069269-0.00004536i, -0.00051708+0.00047087i, -0.00003968+0.00013357i, -0.00013847+0.00012425i, +0.00006125-0.00027755i, +0.00002304+0.00037396i, -0.00011077-0.00064452i, +0.00047466+0.00013976i, -0.00017650-0.00008500i, +0.00028847-0.00015887i, -0.00020548-0.00000859i, -0.00049240-0.00027474i, +0.00032713-0.00084392i, -0.00025014-0.00005245i, -0.00030880-0.00049611i, -0.00019985-0.00059689i, +0.00053422-0.00037960i, -0.00056646+0.00028887i, +0.00051075+0.00125307i, +0.00057916+0.00047251i, -0.00198410+0.00004438i, -0.00069085+0.00040812i, +0.00086274+0.00011062i, -0.00028632-0.00111455i, +0.00076400-0.00066628i, -0.00165293-0.00071125i, -0.00059278+0.00044893i, +0.00006411-0.00010337i, +0.00024699+0.00001075i, +0.00026774-0.00075137i, +0.00100168-0.00020241i, +0.00066942-0.00032532i, +0.00022617-0.00031199i, +0.00016821+0.00064436i
-0.00228838-0.00223861i, -0.00315526+0.00088590i, +0.00145845-0.00089670i, +0.00002945-0.00058923i, -0.00046332-0.00085153i, +0.00076812+0.00063746i, -0.00071089+0.00069264i, +0.01604879+0.00000000i, -0.00105960-0.00041446i, -0.00105509-0.00010705i, -0.00094051+0.00085287i, +0.00016298+0.00106257i, +0.00031172+0.00013576i, +0.00021380+0.00164194i, +0.00025842-0.00026475i, -0.00095207-0.00085381i, -0.00135211+0.00052743i, +0.00186305+0.00007909i, +0.00075555-0.00012592i, -0.00083114+0.00085129i, +0.00004694-0.00061385i, +0.00010979-0.00046659i, -0.00062181-0.00109264i, +0.00062494-0.00220988i, -0.00035624-0.00071707i, +0.00113447-0.00022473i, -0.00137284+0.00006174i, +0.00003199-0.00033357i, -0.00128128-0.00022427i, +0.00010054+0.00115463i, +0.00102782+0.00069556i, +0.00017713+0.00054253i, +0.00009073-0.00027357i, -0.00012205-0.00043016i, +0.00090205+0.00009251i, -0.00092470+0.00064314i, +0.00168450-0.00057969i, +0.00014158+0.00152689i, +0.00014175-0.00013067i, -0.00048858+0.00040180i, +0.00051169-0.00072779i, +0.00062653-0.00042902i, +0.00166460+0.00089549i, -0.00077932-0.00071517i, +0.00004642-0.00026041i, +0.00103416-0.00141279i, +0.00030468+0.00123387i, -0.00041717-0.00113839i, -0.00174276+0.00115331i, -0.00073212+0.00078247i, -0.00027240-0.00184250i, -0.00201104-0.00083103i, +0.00038509+0.00054041i, +0.00149874-0.00079236i, -0.00052362+0.00027048i, +0.00096029-0.00345711i, -0.00028179-0.00036083i, +0.00079895-0.00059435i, -0.00046176+0.00003896i, +0.00140881+0.00002210i, +0.00071142+0.00050321i, -0.00025284+0.00027633i, +0.00095086-0.00043460i, -0.00069546+0.00022944i
+0.00048190+0.00047098i, +0.00151331-0.00261378i, +0.00081269+0.00134359i, -0.00024065-0.00093325i, -0.00071348+0.00090333i, -0.00057737-0.00002953i, -0.00041876+0.00006842i, -0.00105960+0.00041446i, +0.01478894-0.00000000i, +0.00086270-0.00220896i, +0.00032105-0.00124250i, +0.00004549-0.00022143i, +0.00014985-0.00012597i, -0.00120212-0.00112716i, -0.00006784+0.00085569i, +0.00368400-0.00096780i, +0.00031654-0.00139484i, -0.00155731+0.00086454i, -0.00127085+0.00089075i, -0.00025386-0.00019357i, +0.00038347-0.00035348i, -0.00007665+0.00055682i, +0.00103185+0.00096834i, +0.00009877+0.00163217i, +0.00168484+0.00059449i, -0.00078115+0.00122831i, +0.00080828-0.00174693i, +0.00128262+0.00026543i, +0.00172888-0.00108907i, -0.00124223-0.00075007i, -0.00036073+0.00037982i, -0.00005718-0.00065693i, -0.00000532-0.00014320i, +0.00043517-0.00025825i, +0.00000649+0.00036137i, -0.00040762-0.00111148i, -0.00025163+0.00161466i, -0.00085776-0.00076052i, -0.00025597+0.00039498i, +0.00016980-0.00015371i, -0.00033706+0.00058753i, -0.00010977+0.00067488i, -0.00170525+0.00060204i, +0.00109951+0.00026434i, -0.00008224+0.00074897i, +0.00034402+0.00158808i, -0.00107744-0.00015534i, +0.00077157-0.00038710i, -0.00033854-0.00294954i, -0.00037238-0.00127042i, +0.00121282+0.00081755i, +0.00106993-0.00075895i, -0.00087787+0.00037632i, +0.00049656+0.00174640i, -0.00007774-0.00096140i, +0.00200296+0.00213146i, +0.00091866-0.00078359i, -0.00022212+0.00118096i, -0.00005934-0.00089608i, -0.00109388+0.00076318i, -0.00049793+0.00012288i, -0.00044748+0.00018302i, +0.00052665+0.00064950i, +0.00056470-0.00095919i
+0.00090590+0.00052070i, +0.00298831-0.00007266i, -0.00122969+0.00120676i, +0.00067900+0.00012665i, +0.00006782-0.00066699i, -0.00079375-0.00018466i, +0.00019397-0.00050231i, -0.00105509+0.00010705i, +0.00086270+0.00220896i, +0.01633320+0.00000000i, +0.00143697+0.00111515i, -0.00008707-0.00073895i, -0.00099212+0.00060631i, +0.00019830-0.00288626i, +0.00049721+0.00180214i, +0.00032138+0.00167910i, +0.00181360+0.00052085i, -0.00167003-0.00169669i, -0.00099109-0.00012685i, +0.00007318-0.00081694i, +0.00035346+0.00068293i, -0.00014301-0.00018239i, +0.00026582+0.00112638i, -0.00161684+0.00087246i, +0.00025686+0.00195188i, -0.00060487+0.00014694i, +0.00180636-0.00016158i, -0.00073010+0.00124583i, +0.00137228+0.00101670i, +0.00057841-0.00107448i, -0.00106834-0.00125481i, +0.00051487+0.00023454i, -0.00004130+0.00023499i, +0.00024787+0.00038197i, -0.00105672+0.00030200i, +0.00028153-0.00048367i, -0.00123978+0.00026533i, -0.00026713-0.00143978i, -0.00070957-0.00022864i, +0.00057868-0.00030279i, -0.00074318+0.00065971i, -0.00140601+0.00002366i, -0.00174349-0.00150309i, +0.00065428+0.00055963i, -0.00079652-0.00033404i, -0.00074669+0.00133462i, -0.00042768-0.00119699i, +0.00084418+0.00070380i, +0.00262961-0.00081148i, +0.00076461-0.00187686i, +0.00000238+0.00221484i, +0.00147413+0.00039485i, -0.00009467-0.00055205i, -0.00168607+0.00117559i, +0.00049374+0.00002126i, -0.00124619+0.00353622i, +0.00052791+0.00015763i, -0.00056255-0.00026371i, +0.00091165+0.00009737i, -0.00154082-0.00088495i, -0.00042119-0.00113251i, +0.00002045-0.00120846i, -0.00084488+0.00051655i, +0.00057892-0.00012443i
+0.00000271+0.00046296i, +0.00274767+0.00037466i, -0.00042527+0.00098574i, +0.00076425-0.00024528i, -0.00067036-0.00008172i, -0.00021285+0.00010189i, +0.00029208-0.00111840i, -0.00094051-0.00085287i, +0.00032105+0.00124250i, +0.00143697-0.00111515i, +0.01442435+0.00000000i, -0.00148511-0.00143995i, -0.00035575+0.00043493i, +0.00036209-0.00362853i, -0.00027732+0.00105635i, -0.00029983+0.00123540i, +0.00166194-0.00031272i, -0.00144067-0.00108768i, -0.00078706-0.00060976i, +0.00053310-0.00112039i, +0.00070623+0.00060848i, -0.00000958+0.00042679i, -0.00001390+0.00135432i, -0.00198494+0.00049766i, +0.00070416+0.00182876i, -0.00118305-0.00080359i, +0.00159316+0.00029021i, +0.00010539+0.00156660i, +0.00160024+0.00058718i, +0.00087838-0.00147038i, -0.00111240-0.00095812i, +0.00082958+0.00007793i, -0.00006555+0.00031872i, +0.00042969+0.00033891i, -0.00084920-0.00033113i, +0.00085875-0.00007740i, -0.00151043-0.00000478i, -0.00010440-0.00135399i, -0.00049171+0.00057686i, -0.00005965-0.00027137i, -0.00002689+0.00033071i, -0.00051055+0.00041013i, -0.00207503-0.00118265i, +0.00062107+0.00116441i, -0.00084220+0.00013770i, -0.00063407+0.00059756i, -0.00015391-0.00081251i, +0.00064005+0.00033543i, +0.00262916-0.00108801i, +0.00076178-0.00143021i, +0.00026507+0.00139134i, +0.00138501+0.00064064i, -0.00057468-0.00110926i, -0.00148429+0.00093314i, +0.00031813+0.00016671i, -0.00107192+0.00287886i, +0.00094558+0.00040119i, -0.00061064-0.00007303i, +0.00050371-0.00016328i, -0.00137221-0.00088829i, -0.00072629-0.00098808i, -0.00042396-0.00054209i, -0.00097307+0.00040977i, +0.00112239-0.00001174i
-0.00068583+0.00076620i, +0.00004532+0.00177739i, -0.00121201-0.00033578i, -0.00025685+0.00049175i, +0.00055504-0.00034267i, +0.00011391-0.00079123i, +0.00038427+0.00009717i, +0.00016298-0.00106257i, +0.00004549+0.00022143i, -0.00008707+0.00073895i, -0.00148511+0.00143995i, +0.01574585+0.00000000i, +0.00199331-0.00046473i, +0.00145933+0.00007294i, +0.00006506+0.00011505i, -0.00084736+0.00050219i, -0.00062954+0.00129122i, +0.00103332-0.00066950i, -0.00026014-0.00108877i, +0.00062116-0.00072804i, -0.00104629+0.00028546i, -0.00042805-0.00022412i, -0.00080151-0.00052945i, -0.00042791-0.00151230i, -0.00162104+0.00034433i, +0.00045613-0.00112512i, +0.00001008+0.00106302i, -0.00092230+0.00026403i, -0.00079556+0.00126258i, -0.00012211+0.00005978i, +0.00080518-0.00054258i, -0.00089172+0.00035160i, -0.00009747+0.00003247i, +0.00017598+0.00041730i, +0.00047059-0.00061338i, +0.00007923+0.00053833i, -0.00022233-0.00103347i, +0.00107069+0.00012603i, -0.00004728-0.00040117i, -0.00003646+0.00004948i, -0.00083306-0.00047143i, -0.00052760-0.00012228i, +0.00121914-0.00110141i, -0.00155615+0.00015447i, -0.00028253-0.00046389i, -0.00010562-0.00111445i, +0.00035859-0.00029981i, -0.00093985+0.00055876i, +0.00041419+0.00175119i, +0.00064795+0.00089184i, -0.00154488-0.00012835i, -0.00085709+0.00004129i, +0.00052272+0.00013146i, +0.00020460-0.00100792i, -0.00029672+0.00018569i, -0.00193467-0.00133461i, -0.00061603+0.00071858i, +0.00024645-0.00053324i, -0.00017381+0.00037755i, +0.00089894-0.00118489i, +0.00067839-0.00030757i, -0.00002747-0.00019093i, -0.00043910-0.00036500i, -0.00077313+0.00097381i
-0.00056701+0.00025803i, -0.00023175-0.00053741i, +0.00028844-0.00024880i, -0.00092648-0.00002082i, -0.00017082+0.00071091i, +0.00068515+0.00002793i, +0.00002193-0.00034625i, +0.00031172-0.00013576i, +0.00014985+0.00012597i, -0.00099212-0.00060631i, -0.00035575-0.00043493i, +0.00199331+0.00046473i, +0.01372734+0.00000000i, +0.00047447-0.00009054i, +0.00027500-0.00000453i, -0.00078597+0.00062956i, -0.00040333-0.00000046i, +0.00114553+0.00075055i, +0.00032636+0.00029347i, +0.00009275+0.00021200i, +0.00009352+0.00054579i, -0.00013108+0.00009673i, +0.00035762-0.00052052i, +0.00049473-0.00055891i, -0.00020364-0.00076073i, +0.00068133-0.00002764i, -0.00011833-0.00040394i, +0.00000775-0.00035220i, -0.00017544+0.00004516i, -0.00055564+0.00066341i, +0.00072150+0.00020312i, -0.00082090-0.00038718i, +0.00010136+0.00028083i, -0.00002584-0.00008073i, +0.00012063-0.00036476i, -0.00000317+0.00038756i, +0.00061862+0.00014833i, -0.00009024+0.00089514i, +0.00026819+0.00004840i, -0.00019184+0.00026895i, -0.00000711-0.00034570i, +0.00018293+0.00015033i, +0.00073277+0.00074176i, -0.00062349-0.00060067i, -0.00025182+0.00039102i, +0.00049683-0.00059167i, -0.00002632+0.00056237i, -0.00046825-0.00057516i, -0.00059161+0.00040948i, -0.00016697+0.00033471i, +0.00033210-0.00128819i, -0.00058495-0.00051662i, +0.00049432+0.00053392i, +0.00081440-0.00031009i, +0.00019809-0.00012262i, +0.00098125-0.00140620i, -0.00069654-0.00032682i, +0.00049322+0.00026956i, +0.00001756-0.00008171i, +0.00038628+0.00056360i, +0.00038062+0.00024674i, -0.00029968+0.00057870i, +0.00048234-0.00004911i, -0.00043137+0.00056076i
-0.00162208+0.00073957i, +0.00009257+0.00475602i, -0.00130450-0.00089910i, +0.00023862+0.00075050i, +0.00069079-0.00074488i, +0.00021076-0.00095078i, +0.00132281-0.00039793i, +0.00021380-0.00164194i, -0.00120212+0.00112716i, +0.00019830+0.00288626i, +0.00036209+0.00362853i, +0.00145933-0.00007294i, +0.00047447+0.00009054i, +0.01780506+0.00000000i, -0.00138266-0.00113628i, -0.00155877+0.00092823i, -0.00042138+0.00248427i, +0.00150626-0.00246480i, +0.00027996-0.00119759i, +0.00112063+0.00008194i, -0.00078328+0.00008204i, -0.00044822+0.00057914i, -0.00186303+0.00017377i, -0.00137633-0.00213421i, -0.00156620+0.00150787i, +0.00038719-0.00211668i, +0.00052480+0.00236101i, -0.00171467-0.00000777i, -0.00139792+0.00242942i, +0.00215600+0.00077582i, +0.00132774-0.00127872i, -0.00041315+0.00135740i, -0.00016857+0.00023676i, -0.00030779+0.00037238i, -0.00027911-0.00146497i, +0.00040741+0.00104888i, -0.00054382-0.00189261i, +0.00207398+0.00008924i, +0.00017341-0.00105754i, +0.00103097+0.00019049i, -0.00066514-0.00022534i, -0.00034813-0.00086616i, +0.00163712-0.00194908i, -0.00163626+0.00068142i, -0.00043732-0.00062101i, -0.00203983-0.00093078i, +0.00099914-0.00081422i, -0.00048440+0.00072392i, +0.00195107+0.00300518i, +0.00253645+0.00088440i, -0.00260557+0.00010454i, -0.00113307+0.00238705i, +0.00074344-0.00017585i, -0.00173466-0.00182942i, -0.00021673+0.00026157i, -0.00465482-0.00129335i, -0.00059074+0.00128833i, -0.00041749-0.00068562i, +0.00041504+0.00050041i, +0.00090271-0.00193448i, +0.00137848-0.00100957i, +0.00099958-0.00082041i, -0.00095042-0.00064613i, +0.00046771+0.00189250i
