+0.00001986+0.00020844i, +0.00004879+0.00014338i, +0.00004479-0.00004343i, +0.01555553+0.00000000i, -0.00008886-0.00008994i, +0.00017425+0.00009609i, +0.00006666+0.00009553i, +0.00007428-0.00008900i, -0.00013395-0.00001634i, +0.00010933-0.00000419i, -0.00011412+0.00003736i, -0.00000869+0.00014535i, +0.00010043+0.00009229i, -0.00008157+0.00006520i, +0.00000128+0.00010645i, -0.00010996-0.00003924i, +0.00019366-0.00001416i, +0.00000433+0.00021339i, +0.00003553+0.00000149i, +0.00003702-0.00016737i, -0.00010677+0.00015585i, +0.00004915-0.00007197i, +0.00012690-0.00012683i, -0.00003175+0.00023604i, -0.00011419+0.00001463i, +0.00002876+0.00014009i, +0.00007608-0.00017217i, -0.00008579-0.00012042i, -0.00006021+0.00013716i, -0.00001119-0.00004843i, +0.00008569+0.00009078i, -0.00001231+0.00000588i, +0.00001362+0.00009543i, +0.00004055-0.00000851i, +0.00000430+0.00007566i, +0.00000553+0.00018164i, +0.00001231-0.00005213i, -0.00018493-0.00003796i, -0.00006724-0.00007304i, +0.00008281-0.00001799i, +0.00005237+0.00004153i, +0.00002454+0.00005747i, +0.00010092+0.00007386i, -0.00004220-0.00005081i, +0.00018094+0.00001044i, +0.00012721+0.00002768i, -0.00007035-0.00001863i, -0.00008092+0.00003796i, +0.00006939-0.00008064i, -0.00011037+0.00008963i, +0.00004789+0.00009723i, -0.00010931-0.00013610i, -0.00018438+0.00006192i, -0.00015132+0.00004693i, -0.00007796-0.00002613i, -0.00000930-0.00002817i, +0.00008557+0.00014601i, -0.00016039+0.00005084i, -0.00008614+0.00007736i, +0.00003622+0.00011524i, +0.00002807+0.00000726i, -0.00001741+0.00001152i, -0.00010418-0.00017499i, +0.00022950+0.00006382i
-0.00009814-0.00018317i, -0.00003981+0.00002468i, -0.00003979-0.00005454i, -0.00008886+0.00008994i, +0.01542763+0.00000000i, -0.00004552+0.00015495i, -0.00000103-0.00003096i, -0.00012190+0.00011354i, +0.00016613+0.00002941i, -0.00000452+0.00002513i, +0.00002654-0.00001676i, -0.00013006-0.00005404i, -0.00008812+0.00003850i, -0.00001296-0.00008517i, +0.00002061-0.00000454i, -0.00007881-0.00004409i, -0.00008021+0.00000576i, -0.00004522+0.00002163i, +0.00002280+0.00000563i, +0.00006810+0.00003058i, +0.00004294-0.00010241i, -0.00002420+0.00007149i, -0.00004945+0.00001057i, -0.00015035-0.00009040i, +0.00001417-0.00004048i, -0.00007142-0.00002404i, -0.00000423+0.00001690i, +0.00000148+0.00001254i, -0.00000517-0.00002948i, +0.00000472+0.00007023i, +0.00000844+0.00010552i, +0.00001645-0.00007335i, +0.00001674-0.00005188i, +0.00001368-0.00000957i, -0.00000798-0.00004977i, -0.00000217+0.00005493i, +0.00006521+0.00014175i, -0.00003079-0.00003813i, -0.00000857+0.00002008i, -0.00001485+0.00003717i, -0.00004990+0.00006673i, +0.00001835-0.00001235i, -0.00006242+0.00008446i, -0.00003928-0.00002367i, -0.00014406+0.00011209i, +0.00002055+0.00000994i, +0.00007888-0.00000957i, +0.00001954-0.00006991i, -0.00002984+0.00000716i, +0.00002969-0.00002838i, -0.00003514-0.00004630i, +0.00000747-0.00000868i, -0.00000837-0.00012440i, +0.00002539-0.00006284i, +0.00009673-0.00002260i, +0.00002480+0.00005676i, -0.00011488-0.00000336i, +0.00001506-0.00002984i, +0.00003531-0.00008944i, -0.00001737-0.00001222i, -0.00008920+0.00001589i, +0.00002656-0.00000469i, +0.00001513-0.00004876i, -0.00004954+0.00003697i
-0.00004219-0.00002704i, +0.00004964+0.00006129i, +0.00005382-0.00009427i, +0.00017425-0.00009609i, -0.00004552-0.00015495i, +0.01529943+0.00000000i, +0.00009083+0.00016779i, -0.00003171+0.00002360i, -0.00004156+0.00003151i, -0.00002036-0.00006495i, +0.00000244-0.00001124i, +0.00005974+0.00005080i, +0.00007448+0.00006907i, -0.00009200+0.00004860i, +0.00002356+0.00005978i, +0.00003266-0.00001381i, +0.00003768+0.00000793i, +0.00000711+0.00006276i, -0.00002108+0.00002542i, -0.00000392-0.00003950i, +0.00001610+0.00008013i, +0.00004539-0.00003955i, -0.00001673-0.00009761i, +0.00002016+0.00009243i, +0.00008959+0.00009196i, -0.00004156-0.00002737i, +0.00004825+0.00001719i, -0.00004655+0.00005870i, +0.00004569+0.00008105i, -0.00008509-0.00005443i, +0.00004622+0.00000651i, +0.00012849-0.00006968i, +0.00007729-0.00005929i, +0.00001269-0.00009289i, +0.00002068+0.00004532i, +0.00002538+0.00002164i, -0.00001072-0.00002083i, -0.00007586+0.00026122i, -0.00004367-0.00002206i, +0.00002218-0.00007131i, -0.00002784-0.00005168i, +0.00001415-0.00000112i, +0.00004924-0.00000108i, +0.00002279+0.00004873i, +0.00000470-0.00005064i, +0.00004780-0.00001002i, -0.00004666+0.00000612i, -0.00000756-0.00000030i, +0.00002915-0.00007441i, -0.00003459+0.00011377i, +0.00007039+0.00003223i, -0.00005345-0.00004189i, -0.00000574+0.00003256i, -0.00005330+0.00003514i, -0.00007483+0.00004900i, -0.00000512+0.00000306i, +0.00007875-0.00001633i, -0.00007551+0.00005618i, -0.00006438+0.00005646i, -0.00001234+0.00001662i, -0.00000786+0.00001694i, -0.00012818-0.00005596i, -0.00006510-0.00004483i, -0.00001089-0.00004211i
+0.00002555+0.00003745i, +0.00008586-0.00008969i, +0.00000712-0.00002264i, +0.00006666-0.00009553i, -0.00000103+0.00003096i, +0.00009083-0.00016779i, +0.01550165-0.00000000i, -0.00004073+0.00007417i, +0.00002889+0.00006359i, -0.00001831-0.00010674i, -0.00013544-0.00004300i, -0.00001667-0.00001676i, +0.00005097+0.00003348i, -0.00001667+0.00005654i, -0.00006215-0.00004078i, +0.00003832-0.00003377i, +0.00011452-0.00006616i, +0.00002702+0.00004634i, +0.00003652+0.00002071i, -0.00000942-0.00002926i, +0.00005678+0.00003760i, -0.00003784+0.00000502i, +0.00002383-0.00008228i, -0.00000279+0.00002899i, -0.00000335+0.00002094i, +0.00007744+0.00002445i, -0.00000863+0.00002114i, -0.00007105-0.00005737i, +0.00006557+0.00007020i, -0.00003893+0.00005899i, -0.00007760-0.00009863i, +0.00002148+0.00003312i, +0.00003332+0.00003581i, -0.00002318-0.00005156i, +0.00005510+0.00004174i, -0.00004425+0.00006807i, -0.00005183+0.00004409i, -0.00000500+0.00003618i, -0.00003777+0.00027744i, -0.00004477-0.00000385i, -0.00001820-0.00000685i, -0.00000545+0.00002269i, -0.00005605-0.00002550i, +0.00000563-0.00000849i, -0.00000137-0.00001013i, +0.00002759+0.00002597i, -0.00002170-0.00000236i, +0.00003853+0.00000079i, +0.00003357-0.00004445i, -0.00002080+0.00001762i, +0.00006402+0.00004034i, +0.00000151-0.00000780i, -0.00004440+0.00004632i, +0.00000896-0.00007106i, -0.00002071-0.00002095i, +0.00003259+0.00001795i, +0.00009537-0.00003422i, -0.00003231+0.00007319i, +0.00007051+0.00005915i, -0.00001733-0.00001892i, +0.00006395-0.00004441i, +0.00000875+0.00007455i, -0.00010587-0.00000912i, +0.00002488-0.00000703i
+0.00006200-0.00001149i, -0.00001568+0.00004985i, -0.00006000-0.00005993i, +0.00007428+0.00008900i, -0.00012190-0.00011354i, -0.00003171-0.00002360i, -0.00004073-0.00007417i, +0.01536814+0.00000000i, +0.00011641-0.00002320i, -0.00000618+0.00006701i, +0.00000179+0.00003842i, -0.00000872-0.00010857i, -0.00000310-0.00003572i, +0.00003924+0.00005670i, -0.00000808-0.00003263i, +0.00012908+0.00000912i, +0.00000791-0.00003833i, -0.00003711-0.00003751i, +0.00000352+0.00007642i, +0.00000042+0.00006990i, +0.00003887+0.00000436i, +0.00008574+0.00008300i, +0.00000487+0.00010030i, +0.00002769-0.00001881i, +0.00001733-0.00005101i, +0.00001481-0.00006142i, -0.00003120-0.00000761i, +0.00000848+0.00004350i, -0.00007587-0.00005722i, -0.00000177+0.00010289i, -0.00004402+0.00008784i, +0.00001152+0.00000094i, -0.00002815+0.00000960i, +0.00004884+0.00005606i, -0.00000809+0.00005447i, +0.00006824-0.00003652i, +0.00003457+0.00008814i, +0.00006917-0.00009656i, +0.00016611+0.00003289i, +0.00003635+0.00025260i, +0.00001836+0.00005717i, +0.00000848+0.00006966i, -0.00003254-0.00000183i, +0.00005891-0.00002014i, -0.00005193-0.00001365i, -0.00013878-0.00006213i, +0.00000368+0.00003862i, -0.00000967+0.00008870i, -0.00007430+0.00006941i, +0.00009902-0.00006043i, -0.00006151+0.00002129i, +0.00010512+0.00004796i, +0.00009422-0.00002785i, -0.00005776+0.00000695i, +0.00001184+0.00002337i, -0.00001007-0.00004933i, -0.00004872-0.00001777i, +0.00004990-0.00003086i, +0.00002281-0.00004582i, +0.00003911-0.00003336i, -0.00002173-0.00001443i, +0.00002950+0.00002918i, +0.00009901+0.00002839i, -0.00015244-0.00006033i
-0.00000350+0.00003151i, -0.00013472-0.00017620i, -0.00000157-0.00003519i, -0.00013395+0.00001634i, +0.00016613-0.00002941i, -0.00004156-0.00003151i, +0.00002889-0.00006359i, +0.00011641+0.00002320i, +0.01561400+0.00000000i, -0.00009445+0.00014646i, +0.00010058+0.00003614i, -0.00008381-0.00031435i, +0.00005758-0.00005711i, +0.00011667+0.00001193i, -0.00010937-0.00012040i, +0.00011349-0.00007982i, -0.00000162-0.00005464i, -0.00001955-0.00005900i, +0.00001535+0.00015088i, +0.00000616+0.00010846i, +0.00000734-0.00010151i, +0.00002756+0.00000813i, -0.00001173+0.00013454i, -0.00003683-0.00011808i, +0.00011554-0.00010225i, -0.00000084+0.00000064i, -0.00001731+0.00007239i, -0.00005438+0.00005498i, +0.00003590-0.00007861i, +0.00007051+0.00000805i, -0.00004824-0.00001068i, -0.00010309-0.00000012i, -0.00000380-0.00004256i, -0.00005194+0.00000880i, -0.00000068-0.00001183i, +0.00002148+0.00001732i, +0.00006256+0.00015033i, +0.00009051-0.00005823i, +0.00013370-0.00003640i, +0.00005191+0.00002582i, +0.00003366+0.00025804i, +0.00001033-0.00005503i, -0.00010826-0.00004607i, +0.00007927-0.00012748i, -0.00014227+0.00003050i, -0.00019542+0.00001182i, +0.00000717+0.00006024i, +0.00002453-0.00008404i, -0.00025888+0.00020767i, +0.00004806-0.00012456i, -0.00007020-0.00002194i, +0.00010883+0.00002209i, +0.00010671-0.00012272i, +0.00006566-0.00005762i, +0.00009037+0.00004756i, +0.00001381+0.00002599i, -0.00025009+0.00000144i, +0.00011744-0.00004441i, +0.00003385-0.00001934i, +0.00003372+0.00003925i, -0.00008328-0.00000875i, +0.00003650+0.00001035i, +0.00013998+0.00006292i, -0.00007156+0.00006691i
+0.00009612+0.00004631i, +0.00007924+0.00015596i, +0.00004442+0.00001628i, +0.00010933+0.00000419i, -0.00000452-0.00002513i, -0.00002036+0.00006495i, -0.00001831+0.00010674i, -0.00000618-0.00006701i, -0.00009445-0.00014646i, +0.01562424+0.00000000i, -0.00015885-0.00024727i, -0.00009317+0.00019463i, -0.00001581-0.00001734i, -0.00016121+0.00002381i, -0.00007384+0.00013272i, -0.00005064+0.00010013i, +0.00002757-0.00000026i, +0.00002063+0.00008251i, -0.00000781+0.00002301i, -0.00003950-0.00019496i, -0.00008702+0.00011595i, -0.00006405-0.00007700i, +0.00010652-0.00014571i, +0.00006141+0.00015894i, -0.00007565+0.00004447i, -0.00002247+0.00002423i, -0.00001331-0.00006674i, +0.00004916-0.00003426i, -0.00001793+0.00012136i, -0.00008190-0.00006137i, +0.00013346-0.00003229i, -0.00005869+0.00007568i, +0.00003451+0.00008139i, +0.00002358-0.00002704i, +0.00000595+0.00008167i, -0.00006591-0.00003817i, -0.00000444-0.00002604i, -0.00017721+0.00009796i, -0.00012282-0.00008075i, -0.00001501-0.00002176i, +0.00005391+0.00004918i, +0.00005441+0.00028244i, +0.00015436+0.00007971i, -0.00011273+0.00003796i, +0.00006057+0.00000596i, +0.00005334-0.00010102i, -0.00002098-0.00002619i, -0.00008845+0.00005421i, +0.00007194+0.00000858i, -0.00018171+0.00010480i, +0.00008412+0.00002679i, -0.00010367-0.00009793i, -0.00014372-0.00000086i, -0.00006447-0.00007296i, -0.00005070-0.00001671i, +0.00006127-0.00002729i, +0.00012621+0.00008514i, -0.00034962+0.00005003i, -0.00012057+0.00008319i, +0.00006762-0.00002778i, +0.00006669+0.00006199i, -0.00002411-0.00005260i, -0.00011745-0.00008222i, +0.00014670+0.00003555i
-0.00002533+0.00006163i, -0.00013867-0.00002461i, -0.00004494+0.00011431i, -0.00011412-0.00003736i, +0.00002654+0.00001676i, +0.00000244+0.00001124i, -0.00013544+0.00004300i, +0.00000179-0.00003842i, +0.00010058-0.00003614i, -0.00015885+0.00024727i, +0.01566045+0.00000000i, -0.00002561-0.00001704i, -0.00006242-0.00006626i, -0.00000661-0.00000865i, -0.00008787-0.00016135i, +0.00005671-0.00013674i, -0.00006958+0.00001413i, -0.00000182-0.00012331i, +0.00009595-0.00006449i, +0.00002927+0.00011745i, +0.00004694-0.00007249i, +0.00002103+0.00000120i, -0.00004496+0.00017179i, -0.00007039-0.00009696i, +0.00003432-0.00007469i, -0.00005749-0.00004423i, +0.00005157+0.00006538i, -0.00004519+0.00001609i, -0.00006818-0.00013949i, +0.00005981+0.00007033i, +0.00000438+0.00007594i, -0.00005088-0.00001396i, -0.00001876+0.00001890i, -0.00000411+0.00002798i, -0.00005626-0.00004816i, +0.00003241-0.00000452i, +0.00005894+0.00007635i, +0.00012138-0.00005359i, +0.00014294-0.00003282i, -0.00000243+0.00000352i, -0.00000666+0.00003348i, -0.00006578+0.00006369i, -0.00008578+0.00028299i, +0.00010038-0.00005358i, -0.00007842+0.00003639i, -0.00012273+0.00004011i, +0.00003301+0.00005486i, +0.00000066-0.00008377i, -0.00007834+0.00010024i, +0.00001389-0.00001265i, -0.00020523-0.00003950i, +0.00012286+0.00004788i, +0.00013667-0.00008929i, +0.00005107-0.00005655i, +0.00004341+0.00016551i, +0.00002974+0.00002936i, -0.00022021+0.00000809i, +0.00008523-0.00006147i, -0.00016513+0.00001538i, +0.00001359+0.00002915i, -0.00003639+0.00006013i, +0.00007758-0.00000284i, +0.00016014+0.00004048i, -0.00014526+0.00008695i
+0.00006515-0.00005395i, +0.00016021-0.00011313i, -0.00000021+0.00005622i, -0.00000869-0.00014535i, -0.00013006+0.00005404i, +0.00005974-0.00005080i, -0.00001667+0.00001676i, -0.00000872+0.00010857i, -0.00008381+0.00031435i, -0.00009317-0.00019463i, -0.00002561+0.00001704i, +0.01567269+0.00000000i, +0.00007161-0.00008627i, -0.00001350+0.00005459i, +0.00015687-0.00006451i, +0.00018205+0.00013373i, -0.00002307-0.00009702i, +0.00017980+0.00001521i, -0.00004808+0.00005704i, -0.00015426+0.00003855i, +0.00011543+0.00002948i, -0.00010491-0.00016653i, -0.00019789-0.00013045i, +0.00018569+0.00003071i, +0.00015446+0.00013901i, +0.00004297-0.00006876i, -0.00006478+0.00004959i, +0.00000743-0.00001104i, +0.00012579-0.00001493i, -0.00008796+0.00014448i, -0.00002858-0.00013424i, -0.00002079+0.00000015i, +0.00010401-0.00007725i, -0.00006844+0.00001815i, +0.00001877-0.00008470i, -0.00007308-0.00005700i, -0.00014482+0.00006372i, +0.00008923+0.00011713i, -0.00006981+0.00016513i, -0.00009491+0.00001428i, -0.00000400-0.00008314i, +0.00008328+0.00012050i, +0.00008517-0.00017525i, +0.00013877+0.00038076i, -0.00000016-0.00013431i, -0.00004716-0.00025698i, +0.00006758+0.00007373i, +0.00009938+0.00013476i, -0.00014306-0.00014104i, +0.00007009+0.00007788i, +0.00003817-0.00011689i, -0.00030129+0.00020139i, +0.00008860+0.00013769i, +0.00009530+0.00016812i, -0.00005695+0.00007223i, +0.00002590+0.00003880i, +0.00006735-0.00024991i, +0.00002105+0.00018627i, +0.00008418-0.00000091i, -0.00013038-0.00001205i, +0.00000957-0.00007511i, -0.00001968+0.00007917i, -0.00013874+0.00021551i, +0.00000305-0.00024532i
-0.00006740-0.00001805i, +0.00011116-0.00003898i, -0.00008885+0.00001609i, +0.00010043-0.00009229i, -0.00008812-0.00003850i, +0.00007448-0.00006907i, +0.00005097-0.00003348i, -0.00000310+0.00003572i, +0.00005758+0.00005711i, -0.00001581+0.00001734i, -0.00006242+0.00006626i, +0.00007161+0.00008627i, +0.01558442-0.00000000i, -0.00012126+0.00020307i, +0.00004079+0.00012069i, -0.00004422+0.00017344i, +0.00003758-0.00013535i, +0.00009397+0.00008481i, -0.00003996+0.00002084i, -0.00007964-0.00001347i, -0.00007845+0.00014973i, +0.00006939-0.00011589i, +0.00010481-0.00010781i, +0.00009940+0.00006119i, -0.00000707+0.00010722i, +0.00004690+0.00001382i, -0.00015252-0.00011044i, +0.00001332+0.00000053i, +0.00011230+0.00014612i, -0.00002072-0.00005816i, +0.00004135-0.00004850i, -0.00002835-0.00004271i, +0.00008437-0.00000003i, -0.00006610-0.00000595i, +0.00002906+0.00002228i, -0.00003803+0.00003063i, -0.00003091+0.00002183i, +0.00002325+0.00013948i, -0.00009667-0.00002786i, -0.00003296-0.00001260i, +0.00007057-0.00005263i, +0.00002750+0.00004478i, +0.00014106-0.00008524i, -0.00005566+0.00008261i, +0.00013020+0.00014619i, +0.00006539-0.00009278i, -0.00006947-0.00003402i, -0.00003389+0.00008923i, -0.00007499-0.00015996i, +0.00007399+0.00004167i, +0.00008501-0.00003334i, -0.00012796+0.00004240i, +0.00011944+0.00006604i, -0.00002647+0.00010605i, -0.00003056+0.00001186i, +0.00001965+0.00001276i, +0.00023080+0.00000453i, +0.00000674+0.00014390i, +0.00003837+0.00008237i, +0.00004803+0.00005181i, -0.00008924-0.00004014i, -0.00000056+0.00004069i, -0.00004911+0.00000710i, +0.00010262-0.00013226i
+0.00002144-0.00005244i, -0.00012265-0.00024570i, +0.00009261+0.00005763i, -0.00008157-0.00006520i, -0.00001296+0.00008517i, -0.00009200-0.00004860i, -0.00001667-0.00005654i, +0.00003924-0.00005670i, +0.00011667-0.00001193i, -0.00016121-0.00002381i, -0.00000661+0.00000865i, -0.00001350-0.00005459i, -0.00012126-0.00020307i, +0.01554418-0.00000000i, +0.00009778-0.00000260i, +0.00009801-0.00002611i, +0.00001773+0.00000542i, +0.00001569-0.00019931i, -0.00000654+0.00005013i, -0.00006847+0.00002737i, +0.00010547-0.00009161i, -0.00018013+0.00002990i, -0.00007534+0.00011157i, -0.00011443-0.00016530i, +0.00000416-0.00011685i, +0.00007057+0.00000706i, -0.00010214+0.00006355i, +0.00008806-0.00003119i, -0.00000690-0.00014317i, +0.00011784-0.00000506i, -0.00003305+0.00003057i, -0.00001856+0.00001765i, +0.00001482-0.00005533i, +0.00002712+0.00010667i, +0.00000745-0.00002518i, -0.00000724+0.00002338i, +0.00001902+0.00007969i, +0.00016947-0.00008397i, +0.00005448+0.00009956i, +0.00006509+0.00008940i, +0.00000527+0.00000808i, +0.00012646-0.00010171i, -0.00014800-0.00005289i, +0.00009038-0.00010836i, -0.00006665+0.00001658i, -0.00008427+0.00026246i, +0.00005758+0.00007064i, -0.00001334-0.00002555i, -0.00013703+0.00008167i, -0.00005272-0.00012797i, -0.00004643-0.00002184i, +0.00010338+0.00005150i, +0.00011430-0.00011532i, +0.00028420-0.00000839i, +0.00005655+0.00000536i, +0.00001122+0.00001934i, -0.00017145-0.00005090i, +0.00019425+0.00001165i, +0.00008307-0.00003988i, +0.00004899-0.00004204i, -0.00008162-0.00001027i, -0.00012189-0.00003064i, +0.00021338+0.00006819i, -0.00011405+0.00000949i
+0.00006075-0.00005382i, +0.00009230-0.00008665i, -0.00001123-0.00001649i, +0.00000128-0.00010645i, +0.00002061+0.00000454i, +0.00002356-0.00005978i, -0.00006215+0.00004078i, -0.00000808+0.00003263i, -0.00010937+0.00012040i, -0.00007384-0.00013272i, -0.00008787+0.00016135i, +0.00015687+0.00006451i, +0.00004079-0.00012069i, +0.00009778+0.00000260i, +0.01582075-0.00000000i, +0.00008510+0.00016516i, -0.00003937-0.00003600i, +0.00015639-0.00002016i, -0.00003208+0.00006654i, -0.00009411-0.00001638i, +0.00019515-0.00002376i, -0.00004110-0.00003122i, -0.00038164-0.00006249i, +0.00019965-0.00011633i, +0.00016497+0.00010189i, +0.00004702+0.00007192i, -0.00014093-0.00000217i, -0.00009561+0.00001163i, +0.00013997-0.00002272i, -0.00005163+0.00002453i, +0.00011563-0.00012153i, +0.00002891-0.00004975i, +0.00005712+0.00003973i, -0.00004074-0.00004469i, -0.00002314-0.00005549i, +0.00000851-0.00003448i, -0.00013282-0.00010628i, +0.00010262+0.00014909i, -0.00002527+0.00015062i, +0.00000830+0.00000078i, +0.00000001-0.00005475i, +0.00008656+0.00008386i, -0.00000923-0.00016042i, +0.00000659+0.00012901i, +0.00002826-0.00008410i, +0.00004645-0.00020858i, +0.00004510+0.00034406i, +0.00004270+0.00004985i, -0.00010286-0.00018821i, +0.00008637+0.00010313i, +0.00010043-0.00000349i, -0.00011382+0.00011488i, +0.00007830+0.00011658i, +0.00002689+0.00008377i, +0.00011902-0.00000797i, -0.00002254-0.00001069i, +0.00009836-0.00022429i, +0.00004195+0.00018039i, +0.00002391+0.00006258i, +0.00004147+0.00000389i, -0.00004648+0.00000703i, -0.00002239+0.00012890i, -0.00028105+0.00021888i, -0.00004356-0.00019002i
+0.00005159+0.00001476i, +0.00007066-0.00024826i, -0.00005495-0.00001235i, -0.00010996+0.00003924i, -0.00007881+0.00004409i, +0.00003266+0.00001381i, +0.00003832+0.00003377i, +0.00012908-0.00000912i, +0.00011349+0.00007982i, -0.00005064-0.00010013i, +0.00005671+0.00013674i, +0.00018205-0.00013373i, -0.00004422-0.00017344i, +0.00009801+0.00002611i, +0.00008510-0.00016516i, +0.01568576-0.00000000i, -0.00003818-0.00009411i, +0.00014283-0.00004814i, -0.00004712+0.00001265i, -0.00004483+0.00017689i, +0.00009329-0.00005745i, -0.00003803+0.00005670i, -0.00016356+0.00000302i, +0.00007069-0.00004135i, +0.00014729+0.00006314i, -0.00004558-0.00003255i, -0.00006905+0.00002630i, -0.00009428+0.00004651i, +0.00012050-0.00002640i, -0.00004919+0.00009013i, -0.00003576-0.00009090i, +0.00005238+0.00000323i, +0.00003334-0.00001334i, +0.00001288+0.00001842i, +0.00003141-0.00005689i, -0.00011381+0.00007588i, -0.00008613+0.00000005i, +0.00008264+0.00004552i, +0.00001526+0.00016671i, +0.00006825-0.00000632i, -0.00003283-0.00004813i, +0.00020320+0.00003008i, -0.00004369-0.00016299i, +0.00001806+0.00006857i, -0.00002685-0.00004822i, -0.00012173-0.00014873i, +0.00002813-0.00002378i, +0.00016535+0.00027288i, -0.00015044-0.00007593i, +0.00012279+0.00006701i, +0.00003506-0.00010455i, -0.00001749+0.00013700i, +0.00012046+0.00009601i, +0.00008125+0.00005301i, -0.00002611+0.00010312i, +0.00018677-0.00001494i, -0.00000585-0.00017236i, +0.00012310+0.00013476i, +0.00003625-0.00008260i, -0.00005664-0.00004482i, -0.00006737+0.00002580i, -0.00002281+0.00009744i, +0.00004181+0.00020968i, -0.00022713-0.00013576i
+0.00001766+0.00000807i, +0.00002054+0.00003040i, +0.00005055-0.00004056i, +0.00019366+0.00001416i, -0.00008021-0.00000576i, +0.00003768-0.00000793i, +0.00011452+0.00006616i, +0.00000791+0.00003833i, -0.00000162+0.00005464i, +0.00002757+0.00000026i, -0.00006958-0.00001413i, -0.00002307+0.00009702i, +0.00003758+0.00013535i, +0.00001773-0.00000542i, -0.00003937+0.00003600i, -0.00003818+0.00009411i, +0.01569214+0.00000000i, -0.00003618+0.00015358i, -0.00000440-0.00013027i, +0.00010228-0.00026204i, -0.00009336+0.00000439i, +0.00002330+0.00000566i, +0.00020579-0.00021937i, -0.00006633+0.00008320i, -0.00017139+0.00008422i, -0.00003630-0.00000233i, +0.00002021-0.00008948i, -0.00001713-0.00005685i, -0.00002417+0.00011158i, -0.00000334-0.00007793i, +0.00000340-0.00003616i, +0.00001321+0.00008108i, +0.00006670-0.00002920i, +0.00001712+0.00009078i, -0.00011028+0.00004796i, +0.00001245-0.00003853i, -0.00004238-0.00007376i, -0.00011047+0.00005007i, -0.00005489-0.00008635i, +0.00001655-0.00000723i, +0.00007844-0.00000264i, -0.00001159+0.00007632i, +0.00004673+0.00001472i, -0.00004854+0.00004114i, +0.00019399-0.00008668i, +0.00007638+0.00009193i, +0.00000573+0.00003726i, -0.00001572+0.00006546i, +0.00010263-0.00021891i, -0.00001690+0.00007496i, +0.00011519+0.00007843i, -0.00006007-0.00005961i, -0.00019636+0.00003183i, -0.00006973+0.00010120i, -0.00014325-0.00003840i, -0.00000921-0.00000811i, +0.00008511+0.00015562i, -0.00010327-0.00001472i, +0.00002050+0.00011789i, +0.00003707+0.00003607i, +0.00001500+0.00001686i, -0.00001814+0.00001486i, -0.00014007-0.00006401i, +0.00010454+0.00004548i
+0.00000300-0.00000274i, +0.00008696-0.00015435i, -0.00006064+0.00003054i, +0.00000433-0.00021339i, -0.00004522-0.00002163i, +0.00000711-0.00006276i, +0.00002702-0.00004634i, -0.00003711+0.00003751i, -0.00001955+0.00005900i, +0.00002063-0.00008251i, -0.00000182+0.00012331i, +0.00017980-0.00001521i, +0.00009397-0.00008481i, +0.00001569+0.00019931i, +0.00015639+0.00002016i, +0.00014283+0.00004814i, -0.00003618-0.00015358i, +0.01563738-0.00000000i, -0.00013723-0.00016150i, -0.00015695+0.00004265i, +0.00008803+0.00009354i, -0.00007201-0.00020957i, -0.00007759-0.00006311i, +0.00012996-0.00007269i, +0.00013479-0.00002510i, +0.00000725+0.00015172i, -0.00008924-0.00002641i, +0.00005255+0.00014065i, +0.00013167-0.00001200i, -0.00007677-0.00007254i, -0.00001769-0.00011649i, -0.00003792-0.00006238i, +0.00005623-0.00000830i, -0.00004171-0.00008392i, +0.00011820-0.00009044i, -0.00001044+0.00002622i, -0.00009935+0.00007785i, +0.00007121+0.00005936i, -0.00001248+0.00005981i, -0.00000615-0.00002857i, -0.00003634+0.00000633i, +0.00014274+0.00004710i, -0.00001559-0.00014712i, -0.00000366+0.00015017i, -0.00002459-0.00014288i, +0.00008069-0.00019807i, -0.00009016+0.00006232i, -0.00001088+0.00006028i, -0.00012557-0.00015650i, +0.00010819-0.00011176i, +0.00009002-0.00009142i, -0.00009554+0.00007692i, +0.00010347+0.00014437i, +0.00001986+0.00019715i, -0.00000829+0.00006583i, -0.00003563+0.00002743i, +0.00010024-0.00017700i, +0.00002502+0.00018901i, -0.00000324+0.00009229i, -0.00000202+0.00000504i, -0.00000363+0.00000318i, +0.00001937+0.00001910i, -0.00009110+0.00014673i, -0.00000394-0.00008647i
